Date,Year,Month,Temperature
2010-09-01,2010,9,0.63
2010-10-01,2010,10,0.71
2010-11-01,2010,11,0.82
2010-12-01,2010,12,0.45
2011-01-01,2011,1,0.52
2011-02-01,2011,2,0.48
2011-03-01,2011,3,0.66
2011-04-01,2011,4,0.65
2011-05-01,2011,5,0.53
2011-06-01,2011,6,0.63
2011-07-01,2011,7,0.71
2011-08-01,2011,8,0.75
2011-09-01,2011,9,0.57
2011-10-01,2011,10,0.66
2011-11-01,2011,11,0.59
2011-12-01,2011,12,0.61
2012-01-01,2012,1,0.49
2012-02-01,2012,2,0.5
2012-03-01,2012,3,0.58
2012-04-01,2012,4,0.73
2012-05-01,2012,5,0.78
2012-06-01,2012,6,0.65
2012-07-01,2012,7,0.59
2012-08-01,2012,8,0.65
2012-09-01,2012,9,0.72
2012-10-01,2012,10,0.8
2012-11-01,2012,11,0.79
2012-12-01,2012,12,0.54
2013-01-01,2013,1,0.71
2013-02-01,2013,2,0.63
2013-03-01,2013,3,0.67
2013-04-01,2013,4,0.54
2013-05-01,2013,5,0.61
2013-06-01,2013,6,0.69
2013-07-01,2013,7,0.6
2013-08-01,2013,8,0.69
2013-09-01,2013,9,0.77
2013-10-01,2013,10,0.69
2013-11-01,2013,11,0.84
2013-12-01,2013,12,0.7
2014-01-01,2014,1,0.76
2014-02-01,2014,2,0.55
2014-03-01,2014,3,0.78
2014-04-01,2014,4,0.8
2014-05-01,2014,5,0.86
2014-06-01,2014,6,0.67
2014-07-01,2014,7,0.58
2014-08-01,2014,8,0.83
2014-09-01,2014,9,0.87
2014-10-01,2014,10,0.81
2014-11-01,2014,11,0.67
2014-12-01,2014,12,0.78
2015-01-01,2015,1,0.86
2015-02-01,2015,2,0.91
2015-03-01,2015,3,0.96
2015-04-01,2015,4,0.76
2015-05-01,2015,5,0.8
2015-06-01,2015,6,0.81
2015-07-01,2015,7,0.73
2015-08-01,2015,8,0.81
2015-09-01,2015,9,0.85
2015-10-01,2015,10,1.09
2015-11-01,2015,11,1.06
2015-12-01,2015,12,1.16
2016-01-01,2016,1,1.17
2016-02-01,2016,2,1.37
2016-03-01,2016,3,1.36
2016-04-01,2016,4,1.1
2016-05-01,2016,5,0.95
2016-06-01,2016,6,0.8
2016-07-01,2016,7,0.84
2016-08-01,2016,8,1.02
2016-09-01,2016,9,0.91
2016-10-01,2016,10,0.89
2016-11-01,2016,11,0.92
2016-12-01,2016,12,0.87
2017-01-01,2017,1,1.02
2017-02-01,2017,2,1.14
2017-03-01,2017,3,1.16
2017-04-01,2017,4,0.94
2017-05-01,2017,5,0.92
2017-06-01,2017,6,0.72
2017-07-01,2017,7,0.82
2017-08-01,2017,8,0.87
2017-09-01,2017,9,0.77
2017-10-01,2017,10,0.9
2017-11-01,2017,11,0.89
2017-12-01,2017,12,0.93
2018-01-01,2018,1,0.82
2018-02-01,2018,2,0.85
2018-03-01,2018,3,0.88
2018-04-01,2018,4,0.89
2018-05-01,2018,5,0.83
2018-06-01,2018,6,0.77
2018-07-01,2018,7,0.82
2018-08-01,2018,8,0.77
2018-09-01,2018,9,0.8
2018-10-01,2018,10,1.02
2018-11-01,2018,11,0.83
2018-12-01,2018,12,0.92
2019-01-01,2019,1,0.93
2019-02-01,2019,2,0.95
2019-03-01,2019,3,1.17
2019-04-01,2019,4,1.02
2019-05-01,2019,5,0.85
2019-06-01,2019,6,0.91
2019-07-01,2019,7,0.94
2019-08-01,2019,8,0.95
2019-09-01,2019,9,0.93
2019-10-01,2019,10,1.01
2019-11-01,2019,11,1.0
2019-12-01,2019,12,1.09
2020-01-01,2020,1,1.18
2020-02-01,2020,2,1.25
2020-03-01,2020,3,1.17
2020-04-01,2020,4,1.13
2020-05-01,2020,5,1.02
2020-06-01,2020,6,0.92
2020-07-01,2020,7,0.9
2020-08-01,2020,8,0.88
2020-09-01,2020,9,0.99
2020-10-01,2020,10,0.89
2020-11-01,2020,11,1.11
2020-12-01,2020,12,0.81
2021-01-01,2021,1,0.81
2021-02-01,2021,2,0.64
2021-03-01,2021,3,0.89
2021-04-01,2021,4,0.76
2021-05-01,2021,5,0.79
2021-06-01,2021,6,0.84
2021-07-01,2021,7,0.92
2021-08-01,2021,8,0.82
2021-09-01,2021,9,0.93
2021-10-01,2021,10,1.0
2021-11-01,2021,11,0.94
2021-12-01,2021,12,0.86
2022-01-01,2022,1,0.91
2022-02-01,2022,2,0.9
2022-03-01,2022,3,1.05
2022-04-01,2022,4,0.84
2022-05-01,2022,5,0.84
2022-06-01,2022,6,0.93
2022-07-01,2022,7,0.94
2022-08-01,2022,8,0.96
2022-09-01,2022,9,0.9
2022-10-01,2022,10,0.97
2022-11-01,2022,11,0.73
2022-12-01,2022,12,0.8
2023-01-01,2023,1,0.87
2023-02-01,2023,2,0.98
2023-03-01,2023,3,1.21
2023-04-01,2023,4,1.0
2023-05-01,2023,5,0.94
2023-06-01,2023,6,
2023-07-01,2023,7,
2023-08-01,2023,8,
2023-09-01,2023,9,
2023-10-01,2023,10,
2023-11-01,2023,11,
2023-12-01,2023,12,
