Date,Year,Month,Temperature
2016-05-01,2016,5,0.8
2016-06-01,2016,6,0.5
2016-07-01,2016,7,0.66
2016-08-01,2016,8,0.92
2016-09-01,2016,9,0.6
2016-10-01,2016,10,0.75
2016-11-01,2016,11,0.73
2016-12-01,2016,12,0.7
2017-01-01,2017,1,0.66
2017-02-01,2017,2,0.75
2017-03-01,2017,3,0.8
2017-04-01,2017,4,0.69
2017-05-01,2017,5,0.91
2017-06-01,2017,6,0.52
2017-07-01,2017,7,0.68
2017-08-01,2017,8,0.74
2017-09-01,2017,9,0.54
2017-10-01,2017,10,0.75
2017-11-01,2017,11,0.54
2017-12-01,2017,12,0.48
2018-01-01,2018,1,0.5
2018-02-01,2018,2,0.46
2018-03-01,2018,3,0.59
2018-04-01,2018,4,0.81
2018-05-01,2018,5,0.64
2018-06-01,2018,6,0.69
2018-07-01,2018,7,0.75
2018-08-01,2018,8,0.67
2018-09-01,2018,9,0.65
2018-10-01,2018,10,0.8
2018-11-01,2018,11,0.69
2018-12-01,2018,12,0.74
2019-01-01,2019,1,0.67
2019-02-01,2019,2,0.78
2019-03-01,2019,3,0.79
2019-04-01,2019,4,0.79
2019-05-01,2019,5,0.73
2019-06-01,2019,6,0.63
2019-07-01,2019,7,0.86
2019-08-01,2019,8,0.81
2019-09-01,2019,9,0.65
2019-10-01,2019,10,0.73
2019-11-01,2019,11,0.8
2019-12-01,2019,12,0.79
2020-01-01,2020,1,0.76
2020-02-01,2020,2,0.78
2020-03-01,2020,3,0.68
2020-04-01,2020,4,0.86
2020-05-01,2020,5,0.76
2020-06-01,2020,6,0.72
2020-07-01,2020,7,0.7
2020-08-01,2020,8,0.64
2020-09-01,2020,9,0.78
2020-10-01,2020,10,0.57
2020-11-01,2020,11,0.6
2020-12-01,2020,12,0.4
2021-01-01,2021,1,0.36
2021-02-01,2021,2,0.32
2021-03-01,2021,3,0.57
2021-04-01,2021,4,0.39
2021-05-01,2021,5,0.54
2021-06-01,2021,6,0.49
2021-07-01,2021,7,0.77
2021-08-01,2021,8,0.62
2021-09-01,2021,9,0.8
2021-10-01,2021,10,0.68
2021-11-01,2021,11,0.57
2021-12-01,2021,12,0.57
2022-01-01,2022,1,0.57
2022-02-01,2022,2,0.61
2022-03-01,2022,3,0.67
2022-04-01,2022,4,0.59
2022-05-01,2022,5,0.67
2022-06-01,2022,6,0.72
2022-07-01,2022,7,0.81
2022-08-01,2022,8,0.74
2022-09-01,2022,9,0.64
2022-10-01,2022,10,0.62
2022-11-01,2022,11,0.36
2022-12-01,2022,12,0.53
2023-01-01,2023,1,0.44
2023-02-01,2023,2,0.63
2023-03-01,2023,3,0.8
2023-04-01,2023,4,0.98
2023-05-01,2023,5,0.77
2023-06-01,2023,6,
2023-07-01,2023,7,
2023-08-01,2023,8,
2023-09-01,2023,9,
2023-10-01,2023,10,
2023-11-01,2023,11,
2023-12-01,2023,12,
