Country,Election_Year,Election_date,Polarization_votes,Polarization_seats
Luxembourg,1951,1951-06-03,2.790562,3.359833
Luxembourg,1954,1954-05-30,3.517684,3.225062
Luxembourg,1959,1959-02-01,3.452349,3.104965
Luxembourg,1964,1964-06-07,3.722415,3.4796
Luxembourg,1968,1968-12-15,4.007091,3.618765
Luxembourg,1974,1974-05-26,3.431564,3.281278
Luxembourg,1979,1979-06-10,3.013811,2.729852
Luxembourg,1984,1984-06-17,3.058758,2.797321
Luxembourg,1989,1989-06-18,3.481819,3.018576
Luxembourg,1994,1994-06-12,3.248968,2.859229
Luxembourg,1999,1999-06-13,3.46263,3.178034
Luxembourg,2004,2004-06-13,3.419635,2.967879
Luxembourg,2009,2009-06-07,3.587878,3.163734
Luxembourg,2013,2013-10-20,3.692098,3.207316
Luxembourg,2018,2018-10-14,2.989877,2.47031
Malta,1947,1947-10-27,1.118476,1.104244
Malta,1950,1950-09-02,1.302026,1.321764
Malta,1951,1951-05-05,1.390953,1.403121
Malta,1953,1953-12-12,1.430052,1.492481
Malta,1955,1955-02-26,1.455003,1.483029
Malta,1962,1962-02-17,1.454621,1.459662
Malta,1966,1966-03-28,1.487195,1.489161
Malta,1971,1971-06-14,1.490374,1.499757
Malta,1976,1976-09-18,1.499325,1.498412
Malta,1981,1981-12-12,1.499757,1.498412
Malta,1987,1987-05-09,1.498198,1.499853
Malta,1992,1992-02-22,1.499028,1.498412
Malta,1996,1996-10-26,1.498547,1.499853
Malta,1998,1998-09-05,1.499028,1.495662
Malta,2003,2003-04-12,1.499028,1.495662
Malta,2008,2008-03-08,1.495445,1.499853
Malta,2013,2013-03-09,1.485904,1.487271
Malta,2017,2017-06-04,0.2031079,6.87e-07
Netherlands,1946,1946-05-17,4.11155,4.062123
Netherlands,1948,1948-07-07,3.957381,3.972491
Netherlands,1952,1952-06-25,3.996586,3.91239
Netherlands,1956,1956-06-13,3.954159,3.865097
Netherlands,1959,1959-03-12,3.971231,3.871932
Netherlands,1963,1963-05-15,3.997895,3.970956
Netherlands,1967,1967-02-15,3.932799,3.926386
Netherlands,1971,1971-03-28,4.107096,4.069146
Netherlands,1972,1972-11-29,4.429488,4.39513
Netherlands,1977,1977-05-25,4.231282,4.158429
Netherlands,1981,1981-05-26,4.279713,4.244919
Netherlands,1982,1982-09-08,4.561696,4.504564
Netherlands,1986,1986-05-21,4.216018,4.046539
Netherlands,1989,1989-09-06,3.493807,3.431614
Netherlands,1994,1994-05-03,3.746083,3.649072
Netherlands,1998,1998-05-06,3.2526,3.193364
Netherlands,2002,2002-05-15,3.996321,3.997446
Netherlands,2003,2003-01-22,3.690374,3.660108
Netherlands,2006,2006-11-22,4.403831,4.412441
Netherlands,2010,2010-06-09,4.674291,4.700171
Netherlands,2012,2012-09-12,5.040628,5.08048
Netherlands,2017,2017-03-15,4.898172,4.91771
Netherlands,2021,2021-03-15,4.714405,4.737044
Norway,1945,1945-10-08,4.117959,3.897284
Norway,1949,1949-10-10,3.904745,3.528714
Norway,1953,1953-10-12,3.982468,3.812576
Norway,1957,1957-10-07,3.891498,3.805703
Norway,1961,1961-09-11,4.030902,3.836417
Norway,1965,1965-09-12,4.158197,3.849844
Norway,1969,1969-09-07,4.015176,3.766026
Norway,1973,1973-09-09,4.693322,4.516143
Norway,1977,1977-09-11,4.468498,4.14814
Norway,1981,1981-09-14,4.782283,4.558889
Norway,1985,1985-09-08,4.781545,4.515339
Norway,1989,1989-09-11,4.871968,4.878531
Norway,1993,1993-09-13,4.280122,4.171186
Norway,1997,1997-09-16,4.730846,4.546012
Norway,2001,2001-09-10,4.999028,5.044052
Norway,2005,2005-09-12,4.512551,4.429926
Norway,2009,2009-09-14,4.495948,4.422653
Norway,2013,2013-09-09,4.237732,4.094928
Norway,2017,2017-09-11,4.190203,4.073406
Norway,2021,2021-09-13,4.289705,4.300828
Portugal,1975,1975-04-25,2.783212,2.62679
Portugal,1976,1976-04-25,3.392064,3.314844
Portugal,1979,1979-10-05,3.252516,3.239764
Portugal,1980,1980-10-05,3.238694,3.18046
Portugal,1983,1983-04-25,3.252364,3.140732
Portugal,1985,1985-10-06,2.988319,2.809664
Portugal,1987,1987-07-19,2.568195,2.310787
Portugal,1991,1991-10-06,2.453543,2.171247
Portugal,1995,1995-10-01,2.777433,2.474644
Portugal,1999,1999-10-10,3.038375,2.806764
Portugal,2002,2002-03-17,3.397011,3.163266
Portugal,2005,2005-02-20,3.396226,3.065783
Portugal,2009,2009-09-27,4.495101,4.16432
Portugal,2011,2011-06-05,4.35821,4.069682
Portugal,2015,2015-10-04,4.414095,4.257778
Portugal,2019,2019-10-06,4.034517,3.695648
Spain,1977,1977-06-15,3.841541,3.719115
Spain,1979,1979-03-01,4.106157,3.811842
Spain,1982,1982-10-28,4.433557,4.503811
Spain,1986,1986-06-22,4.415431,4.563581
Spain,1989,1989-10-29,3.856147,3.882843
Spain,1993,1993-06-06,4.164149,4.050311
Spain,1996,1996-03-03,3.136249,2.913139
Spain,2000,2000-03-12,2.913455,2.680955
Spain,2004,2004-03-14,4.491498,4.436232
Spain,2008,2008-03-09,3.736181,3.627793
Spain,2011,2011-11-20,3.997555,3.824384
Spain,2015,2015-12-20,4.324621,4.316251
Spain,2016,2016-06-26,4.303115,4.379359
Spain,2019,2019-04-28,5.23732,4.990988
Spain,2019,2019-11-10,5.514145,5.462759
Sweden,1948,1948-09-19,3.781507,3.54047
Sweden,1952,1952-09-21,3.78211,3.643689
Sweden,1956,1956-09-26,3.929342,3.856006
Sweden,1958,1958-06-01,3.981543,3.942239
Sweden,1960,1960-09-18,3.926755,3.833384
Sweden,1964,1964-09-20,3.868938,3.755871
Sweden,1968,1968-09-15,3.750766,3.631385
Sweden,1970,1970-09-20,3.761764,3.731872
Sweden,1973,1973-09-16,3.939417,3.911288
Sweden,1976,1976-09-19,3.933088,3.924963
Sweden,1979,1979-09-16,4.173146,4.1655
Sweden,1982,1982-09-19,4.30017,4.343811
Sweden,1985,1985-09-15,4.175953,4.17933
Sweden,1988,1988-09-18,3.832524,3.840786
Sweden,1991,1991-09-15,4.390745,4.432093
Sweden,1994,1994-09-18,4.213574,4.142608
Sweden,1998,1998-09-21,4.447578,4.468023
Sweden,2002,2002-09-15,3.985514,3.957424
Sweden,2006,2006-09-17,4.052852,3.987061
Sweden,2010,2010-09-19,4.321404,4.314571
Sweden,2014,2014-09-13,4.260961,4.144705
Sweden,2018,2018-09-09,4.514231,4.495639
Switzerland,1947,1947-10-26,3.237309,3.221121
Switzerland,1951,1951-10-28,3.17948,3.152663
Switzerland,1955,1955-10-30,3.17236,3.201546
Switzerland,1959,1959-10-25,3.156957,3.190341
Switzerland,1963,1963-10-27,3.158938,3.206176
Switzerland,1967,1967-10-29,3.041221,3.136264
Switzerland,1971,1971-10-31,3.014292,3.084007
Switzerland,1975,1975-10-26,3.141059,3.21828
Switzerland,1979,1979-10-21,3.245853,3.295762
Switzerland,1983,1983-10-23,3.270448,3.2933
Switzerland,1987,1987-10-18,3.52797,3.412577
Switzerland,1991,1991-10-20,3.781364,3.777978
Switzerland,1995,1995-10-22,3.780138,3.80282
Switzerland,1999,1999-10-24,3.611339,3.570535
Switzerland,2003,2003-10-19,3.658674,3.68346
Switzerland,2007,2007-10-21,4.958824,5.101269
Switzerland,2011,2011-10-23,4.777812,4.894249
Switzerland,2015,2015-10-18,4.789167,4.875355
Switzerland,2019,2019-10-20,5.867652,6.034158
United Kingdom,1945,1945-07-05,5.126552,5.09793
United Kingdom,1950,1950-02-23,5.201857,5.44544
United Kingdom,1951,1951-10-25,5.411107,5.456515
United Kingdom,1955,1955-05-26,5.415532,5.44843
United Kingdom,1959,1959-10-08,5.31366,5.390215
United Kingdom,1964,1964-10-15,5.149593,5.46024
United Kingdom,1966,1966-03-31,5.206834,5.3594
United Kingdom,1970,1970-06-18,5.213907,5.443957
United Kingdom,1974,1974-02-28,4.84748,5.414243
United Kingdom,1974,1974-10-10,4.845209,5.389464
United Kingdom,1979,1979-05-03,4.98656,5.40073
United Kingdom,1983,1983-06-09,4.636864,5.140657
United Kingdom,1987,1987-06-11,4.765298,5.228278
United Kingdom,1992,1992-04-09,3.398459,3.59387
United Kingdom,1997,1997-05-01,2.458525,2.198329
United Kingdom,2001,2001-06-07,3.19091,2.638935
United Kingdom,2005,2005-05-05,2.416677,1.927506
United Kingdom,2010,2010-05-06,3.293148,3.1263
United Kingdom,2015,2015-05-07,4.306535,3.608797
United Kingdom,2017,2017-06-08,4.959833,4.994934
United Kingdom,2019,2019-12-12,4.773562,4.822404
